SKU,Revenue,Cumulative_Revenue,Cumulative_Pct,ABC_Class
SET301-KR-PP-M,833.0,78045338.70000029,99.32717113691142,C
SET301-KR-PP-S,833.0,78046171.70000029,99.32823128393538,C
SET301-KR-PP-XXL,833.0,78047004.70000029,99.32929143095934,C
SET230-KR-PP-XXL,832.0,78047836.70000029,99.33035030529781,C
J0331-KR-XS,832.0,78048668.70000029,99.33140917963627,C
J0319-KR-XL,829.52,78049498.22000028,99.33246489771469,C
JNE3394-KR-A-XS,828.0,78050326.22000028,99.33351868131113,C
JNE3403-KR-M,828.0,78051154.22000028,99.33457246490758,C
JNE3394-KR-A-XL,828.0,78051982.22000028,99.33562624850403,C
J0110-SKD-L,826.0,78052808.22000028,99.33667748672947,C
J0098-TP-S,826.0,78053634.22000028,99.33772872495491,C
JNE3257-KR-M,825.0,78054459.22000028,99.33877869049486,C
SET299-KR-PP-XS,825.0,78055284.22000028,99.3398286560348,C
J0194-DR-M,824.0,78056108.22000028,99.34087734888924,C
J0033-KR-XL,824.0,78056932.22000028,99.34192604174368,C
JNE3428-KR-XL,819.0,78057751.22000028,99.3429683711706,C
SET014-KR-PP-A-S,819.0,78058570.22000028,99.34401070059752,C
JNE3907-KR-S,819.0,78059389.22000028,99.34505303002445,C
JNE09186-BLUE-SR-JP7104RMV,819.0,78060208.22000028,99.34609535945137,C
JNE09186-BLUE-SR-JP7104RMV-K,819.0,78061027.22000028,99.34713768887828,C
JNE3427-KR-M,819.0,78061846.22000028,99.3481800183052,C
SAR130,819.0,78062665.22000028,99.34922234773212,C
JNE3907-KR-XS,819.0,78063484.22000028,99.35026467715905,C
JNE09187-PINK-SR-JP7104RNV,819.0,78064303.22000028,99.35130700658597,C
JNE1977-KR-237-XXXL,819.0,78065122.22000028,99.35234933601289,C
BL029-78BLACK,818.05,78065940.27000028,99.35339045638858,C
SET014-KR-PP-A-XXL,818.0,78066758.27000028,99.35443151313,C
JNE3630-KR-XS,810.0,78067568.27000028,99.3554623883874,C
J0116-TP-XXL,809.0,78068377.27000028,99.35649199095928,C
SAR165,809.0,78069186.27000028,99.35752159353117,C
JNE3394-KR-A-M,808.29,78069994.56000029,99.35855029249637,C
J0429-DR-M,807.0,78070801.56000029,99.35957734969726,C
JNE3927-KR-XS,801.0,78071602.56000029,99.36059677078514,C
JNE3927-KR-M,801.0,78072403.56000029,99.361616191873,C
J0093-DR-M,799.0,78073202.56000029,99.36263306758987,C
SET226-KR-PP-XXXL,799.0,78074001.56000029,99.36364994330673,C
SET226-KR-PP-M,799.0,78074800.56000029,99.3646668190236,C
SET226-KR-PP-S,799.0,78075599.56000029,99.36568369474045,C
SET226-KR-PP-XXL,799.0,78076398.56000029,99.36670057045731,C
SET205-KR-DPT-A-S,798.0,78077196.56000029,99.36771617348867,C
JNE2251-KR-537-XXXL,798.0,78077994.56000029,99.36873177652004,C
JNE3719-KR-S,798.0,78078792.56000029,99.3697473795514,C
JNE3719-KR-M,798.0,78079590.56000029,99.37076298258276,C
JNE3383-KR-A-L,798.0,78080388.56000029,99.37177858561412,C
J0419-TP-XXXL,791.0,78081179.56000029,99.37278527984695,C
J0212-DR-XS,791.0,78081970.56000029,99.3737919740798,C
J0417-TP-XS,791.0,78082761.56000029,99.37479866831264,C
SAR056,790.0,78083551.56000029,99.37580408985997,C
SAR023,790.0,78084341.56000029,99.37680951140732,C
SAR026,790.0,78085131.56000029,99.37781493295465,C
J0254-SKD-XS,789.0,78085920.56000029,99.37881908181647,C
J0254-SKD-XL,789.0,78086709.56000029,99.37982323067831,C
BTM036-PP-XL,786.0,78087495.56000029,99.38082356148364,C
JNE3612-KR-XXXL,785.0,78088280.56000029,99.38182261960345,C
SET014-KR-PP-A-XS,783.0,78089063.56000029,99.38281913235228,C
JNE3889-KR-XXL,779.0,78089842.56000029,99.38381055435909,C
JNE3643-TP-N-XXL,777.0,78090619.56000029,99.38479943099487,C
BL099-S,777.0,78091396.56000029,99.38578830763068,C
J0101-DR-A-M,777.0,78092173.56000029,99.38677718426648,C
BL100-S,777.0,78092950.56000029,99.38776606090228,C
SET373-KR-PP-L,774.0,78093724.56000029,99.38875111948157,C
J0305-DR-L,774.0,78094498.56000029,99.38973617806086,C
J0205-TP-L,774.0,78095272.56000029,99.39072123664015,C
SET373-KR-PP-M,774.0,78096046.56000029,99.39170629521944,C
SET373-KR-PP-XS,774.0,78096820.56000029,99.39269135379872,C
SET244-KR-NP-XS,773.0,78097593.56000029,99.3936751396925,C
SAR025,772.0,78098365.56000029,99.39465765290079,C
SET112-KR-SP-XS,772.0,78099137.56000029,99.39564016610908,C
SAR032,772.0,78099909.56000029,99.39662267931736,C
SET442-KR-NP-L,771.0,78100680.56000029,99.39760391984014,C
SET297-KR-NP-L,771.0,78101451.56000029,99.39858516036291,C
SET442-KR-NP-M,771.0,78102222.56000029,99.39956640088569,C
JNE3871-KR-S,771.0,78102993.56000029,99.40054764140848,C
BL024-74RED-B,771.0,78103764.56000029,99.40152888193126,C
SAR166,770.48,78104535.04000029,99.40250946065757,C
JNE3676-TU-XXXL,770.0,78105305.04000029,99.40348942849485,C
SET461-KR-NP-XXL,769.0,78106074.04000029,99.40446812364662,C
SET461-KR-NP-XS,769.0,78106843.04000029,99.4054468187984,C
BL026-74BEIGE-B,766.0,78107609.04000029,99.40642169589367,C
JNE3789-KR-XXL,766.0,78108375.04000029,99.40739657298893,C
SET202-KR-NP-M,766.0,78109141.04000029,99.4083714500842,C
BL053-153GOLD-A,764.0,78109905.04000029,99.40934378180846,C
J0251-SKD-L,763.0,78110668.04000029,99.41031484084722,C
J0133-KR-XS,762.0,78111430.04000029,99.41128462720047,C
JNE3573-KR-XXXL,762.0,78112192.04000029,99.41225441355373,C
J0278-SET-XL,761.0,78112953.04000029,99.41322292722147,C
J0314-KR-L,761.0,78113714.04000029,99.41419144088923,C
SET251-KR-PP-XXL,759.0,78114473.04000029,99.41515740918597,C
J0133-KR-A-XL,758.0,78115231.04000029,99.41612210479721,C
BL015-63PINK,758.0,78115989.04000029,99.41708680040846,C
SET094-KR-NP-XS,758.0,78116747.04000029,99.4180514960197,C
BL055-164GOLD-A,758.0,78117505.04000029,99.41901619163093,C
J0133-KR-XXL,758.0,78118263.04000029,99.41998088724218,C
SAR154,756.0,78119019.04000029,99.42094303748242,C
SAR149,756.0,78119775.04000029,99.42190518772266,C
SAR148,756.0,78120531.04000029,99.42286733796288,C
BTM043-PP-S,756.0,78121287.04000029,99.42382948820313,C
